Tweet Text,Clean Tweet Text,Label,Tweet ID,Type,Author Name,Author Username,Creation Time,Reply Count,Retweet Count,Quote Count,Like Count,View Count,Bookmark Count,Language,Possibly Sensitive,Source,Hashtags,Tweet URL,Media Type,Media URLs,External URLs
"#BREAKING - Reports that air rescue is currently active in the Black Mountain, NC area E of Asheville with 100+ people being rescued. #Helene",breaking reports that air rescue is currently active in the black mountain nc area e of asheville with 100 people being rescued helene,0,1840107863542255880,Tweet,Tyler Metcalf,tymetwx,"9/28/2024, 12:14:36 PM",0,24,0,89,2916,1,en,No,helene,"#BREAKING, #Helene",https://x.com/tymetwx/status/1840107863542255880,,,
"Helene power report:

532k currently out

1.86 million restored",helene power report 532k currently out 186 million restored,0,1839834935240052749,Tweet,Ron DeSantis,GovRonDeSantis,"9/27/2024, 6:10:05 PM",487,858,131,10353,465379,56,en,No,helene,,https://x.com/GovRonDeSantis/status/1839834935240052749,,,
I have authorized the FL National Guard to send air assets to North Carolina in support of NC’s Hurricane Helene response.,i have authorized the fl national guard to send air assets to north carolina in support of nc’s hurricane helene response,0,1840129774766714967,Tweet,Ron DeSantis,GovRonDeSantis,"9/28/2024, 1:41:40 PM",3714,11570,1445,92059,6520473,769,en,No,helene,,https://x.com/GovRonDeSantis/status/1840129774766714967,,,
"i’ve been gone for days because hurricane helene has devastated my town. luckily, my home and my family are safe. i have had no access to cell service and still have no power. i hope everyone affected by this storm is doing well and staying safe. i’ll be back when i can &lt;3",i’ve been gone for days because hurricane helene has devastated my town luckily my home and my family are safe i have had no access to cell service and still have no power i hope everyone affected by this storm is doing well and staying safe i’ll be back when i can lt3,1,1840142393364099583,Tweet,anna ☾⋆⁺₊⋆,M00NLIGHTFAERIE,"9/28/2024, 2:31:49 PM",9,0,1,17,1728,0,en,No,helene,,https://x.com/M00NLIGHTFAERIE/status/1840142393364099583,,,
It’s quite possible the worst of the damage has yet to be documented / reported in rural western NC. Helene will be remembered as one of the most devastating storms of the modern era. Many places have been geographically altered &amp; the rebuilding process will take a lifetime.,it’s quite possible the worst of the damage has yet to be documented reported in rural western nc helene will be remembered as one of the most devastating storms of the modern era many places have been geographically altered amp the rebuilding process will take a lifetime,0,1840111201663238189,Tweet,"Ryan Hall, Y’all",ryanhallyall,"9/28/2024, 12:27:52 PM",384,3853,166,27518,1320267,1102,en,No,helene,,https://x.com/ryanhallyall/status/1840111201663238189,,,
"Just about to land in Atlanta, left Korea about 14 hours ago. One more short flight to get home tonight. 

I’m drained, #Telfam. The trip to China was such an experience, until hurricane Helene woke up with a couple of days remaining. 

Good news - everyone is safe, we were able",just about to land in atlanta left korea about 14 hours ago one more short flight to get home tonight i’m drained telfam the trip to china was such an experience until hurricane helene woke up with a couple of days remaining good news everyone is safe we were able,0,1840158094409773173,Tweet,CrypⓣoSⓣeveO 💜,steveocrypto_,"9/28/2024, 3:34:12 PM",12,1,0,55,1811,0,en,No,helene,#Telfam,https://x.com/steveocrypto_/status/1840158094409773173,,,
"Hurricane Helene is killing hundreds, if not thousands of people.

Please intercede for those in the path of destruction. It is never too late.

Think: the thief on the cross.

🙏🕊️❤️",hurricane helene is killing hundreds if not thousands of people please intercede for those in the path of destruction it is never too late think the thief on the cross 🙏🕊️❤️,0,1840157611045597310,Tweet,Liz 🩷,PearlandPiper,"9/28/2024, 3:32:17 PM",2,9,1,55,1125,0,en,No,helene,,https://x.com/PearlandPiper/status/1840157611045597310,,,
This deserves the same attention as Ukraine and Israel. We are a nation of small town and everyday folk. Media has to realize just because you’ve never heard of a city or town doesn’t mean no one has. The literal map of our southern states is being remade by #Helene ‘s impact,this deserves the same attention as ukraine and israel we are a nation of small town and everyday folk media has to realize just because you’ve never heard of a city or town doesn’t mean no one has the literal map of our southern states is being remade by helene ‘s impact,1,1840161053222592618,Tweet,Private Citizen,Sumthinlike_wat,"9/28/2024, 3:45:58 PM",1,3,0,18,1027,1,en,No,helene,#Helene,https://x.com/Sumthinlike_wat/status/1840161053222592618,,,
"If you are trying to locate a close relative (parent, child, sibling, etc.) or member of your household who is in an area affected by Hurricane Helene, call 1-800-Red Cross. We are working to reunify families affected by the disaster. Our tools are limited now, but 1/",if you are trying to locate a close relative parent child sibling etc or member of your household who is in an area affected by hurricane helene call 1800red cross we are working to reunify families affected by the disaster our tools are limited now but 1,0,1840173856989790466,Tweet,Jerin Higgins (she/her),higginszoo,"9/28/2024, 4:36:50 PM",1,8,0,12,887,0,en,No,helene,,https://x.com/higginszoo/status/1840173856989790466,,,
"I'm really starting to think Helene just had some sort of negative energy to it that cant fully be explained. I know it sounds like a crazy person thing to say, and I'm usually a very scientific person, but I truly believe it. 

- From the moment we left Columbia there was just a",im really starting to think helene just had some sort of negative energy to it that cant fully be explained i know it sounds like a crazy person thing to say and im usually a very scientific person but i truly believe it from the moment we left columbia there was just a,0,1840150254089581035,Tweet,Gerald Mengel,GMengel,"9/28/2024, 3:03:03 PM",43,20,3,374,43606,44,en,No,helene,,https://x.com/GMengel/status/1840150254089581035,,,
"Hope all of you affected by Hurricane Helene are doing, if not ok, then at least not super awful… truly… 🙏🙏",hope all of you affected by hurricane helene are doing if not ok then at least not super awful… truly… 🙏🙏,0,1840124481752175076,Tweet,Johnny,JohnnyMorgan88,"9/28/2024, 1:20:38 PM",0,1,0,24,255,0,en,No,helene,,https://x.com/JohnnyMorgan88/status/1840124481752175076,,,
"Seems like North Carolina is going to have the most severe and longest lasting impact from Hurricane Helene, which I don't think anyone saw coming.",seems like north carolina is going to have the most severe and longest lasting impact from hurricane helene which i dont think anyone saw coming,0,1840163824927658494,Tweet,Varad Mehta,varadmehta,"9/28/2024, 3:56:59 PM",10,8,0,82,3979,1,en,No,helene,,https://x.com/varadmehta/status/1840163824927658494,,,
"It seems my family is all safe. What a nerve-wracking 24 hours! I hope everyone was able to get to safety and get rescued. The damage to livelihoods is already enough. 
#Asheville 
#AshevilleFlood
#Helene",it seems my family is all safe what a nervewracking 24 hours i hope everyone was able to get to safety and get rescued the damage to livelihoods is already enough asheville ashevilleflood helene,0,1840167965125198029,Tweet,Karyn Hill,KarynRHill,"9/28/2024, 4:13:26 PM",3,0,0,18,597,0,en,No,helene,"#Asheville, #AshevilleFlood, #Helene",https://x.com/KarynRHill/status/1840167965125198029,,,
Let’s please make sure we have our emergency bags ready guys. I’m so sad looking at these videos. Prayers for all affected by Helene 🥺,let’s please make sure we have our emergency bags ready guys i’m so sad looking at these videos prayers for all affected by helene 🥺,0,1840155923438072289,Tweet,wifey 💍,chellly_g,"9/28/2024, 3:25:35 PM",1,6,1,46,1407,0,en,No,helene,,https://x.com/chellly_g/status/1840155923438072289,,,
my heart goes out all the folks that have gotten hit so hard by Hurricane Helene in Western NC and neighboring states. praying for the safety of all.,my heart goes out all the folks that have gotten hit so hard by hurricane helene in western nc and neighboring states praying for the safety of all,0,1840178267262746818,Tweet,🇺🇸Paul Mampilly,MampillyGuru,"9/28/2024, 4:54:22 PM",1,3,0,27,1121,0,en,No,helene,,https://x.com/MampillyGuru/status/1840178267262746818,,,
"It is and will be very challenging for those affected by Helene, many towns have severe damage. If you can help, let’s Lift Up Southern Appalachia. #LUSA

If anyone knows of small local charities that are providing assistance, please share them. 

Please share the hashtag.",it is and will be very challenging for those affected by helene many towns have severe damage if you can help let’s lift up southern appalachia lusa if anyone knows of small local charities that are providing assistance please share them please share the hashtag,0,1840154890036810158,Tweet,Chris Kracht,ckracht3,"9/28/2024, 3:21:28 PM",5,10,1,15,1098,3,en,No,helene,#LUSA,https://x.com/ckracht3/status/1840154890036810158,,,
"Just got this message in my inbox from my friend @Ezra4Liberty 
“Hey Natalie, as you probably know, much of East TN has been devastated by the floods as a result of Helene, and thousands of people are displaced and have lost everything. I’m working with America’s Future to",just got this message in my inbox from my friend ezra4liberty “hey natalie as you probably know much of east tn has been devastated by the floods as a result of helene and thousands of people are displaced and have lost everything i’m working with america’s future to,0,1840177322965532900,Tweet,Natalie F Danelishen,Chesschick01,"9/28/2024, 4:50:37 PM",1,12,4,28,3883,0,en,No,helene,,https://x.com/Chesschick01/status/1840177322965532900,,,
"On parle plus du ""roi de la montagne"" que des 26 classes d'adaptation fermées au CSSDM. C'est ça la drame.",on parle plus du roi de la montagne que des 26 classes dadaptation fermées au cssdm cest ça la drame,0,1840177507129274622,Tweet,Hélène Frankland,HeleneFrankland,"9/28/2024, 4:51:21 PM",13,26,7,128,12307,1,fr,No,helene,,https://x.com/HeleneFrankland/status/1840177507129274622,,,
"Just seeing how bad the effects of Helene are . Praying for my friends , family and fans  all through out the south and the coastline.",just seeing how bad the effects of helene are praying for my friends family and fans all through out the south and the coastline,0,1840155041618944034,Tweet,Jelly Roll,JellyRoll615,"9/28/2024, 3:22:05 PM",66,131,4,2353,61180,12,en,No,helene,,https://x.com/JellyRoll615/status/1840155041618944034,,,
"Unfortunately due to the damage Hurricane Helene had on my college town I was forced to return home to New York. Thankfully I’m safe but this year has been an absolute nightmare. 

Genuinely one of the worst years of my life. I’ve never felt more lost and not on my feet than ever",unfortunately due to the damage hurricane helene had on my college town i was forced to return home to new york thankfully i’m safe but this year has been an absolute nightmare genuinely one of the worst years of my life i’ve never felt more lost and not on my feet than ever,1,1840143044223308115,Tweet,matt l 7psycho,7psychho,"9/28/2024, 2:34:24 PM",3,1,0,11,301,0,en,No,helene,,https://x.com/7psychho/status/1840143044223308115,,,
"My friends have been lucky post-Hurricane Helene, but it has been so terrible for so many. I don't even know what to say, but my sincerest good wishes to people hit by this catastrophe and all of the first responders trying to help.",my friends have been lucky posthurricane helene but it has been so terrible for so many i dont even know what to say but my sincerest good wishes to people hit by this catastrophe and all of the first responders trying to help,0,1840178439422095853,Tweet,Farran Nehme,selfstyledsiren,"9/28/2024, 4:55:03 PM",0,0,0,21,1427,0,en,No,helene,,https://x.com/selfstyledsiren/status/1840178439422095853,,,
Pray for my hometown in Florida! Most of the beach areas were ripped apart by Helene and other areas near the water!,pray for my hometown in florida most of the beach areas were ripped apart by helene and other areas near the water,1,1840131104772161696,Tweet,Joseph G. 🦬,jwgrable2,"9/28/2024, 1:46:58 PM",1,0,0,7,204,0,en,No,helene,,https://x.com/jwgrable2/status/1840131104772161696,,,
The flooding and devastating impact of  Helene is awful.,the flooding and devastating impact of helene is awful,0,1840169367230644522,Tweet,Andrew Kinsey (@andrewkinsey.bluesky.social),KinseyAndrew,"9/28/2024, 4:19:00 PM",0,2,0,6,561,0,en,No,helene,,https://x.com/KinseyAndrew/status/1840169367230644522,,,
"Honestly Im really grateful we werent hit too badly by Helene because this hurricane seriously fucked stuff up for many. 

Sure, there are a few uprooted/downed trees but at least I didnt lose everything I own to a flood. 

Not good with words but I hope you all are safe and ok!",honestly im really grateful we werent hit too badly by helene because this hurricane seriously fucked stuff up for many sure there are a few uprooteddowned trees but at least i didnt lose everything i own to a flood not good with words but i hope you all are safe and ok,1,1840124676548505923,Tweet,Mari.M0nster,Mari_M0nster,"9/28/2024, 1:21:25 PM",3,1,0,35,9732,0,en,No,helene,,https://x.com/Mari_M0nster/status/1840124676548505923,,,
"The Biden Administration deployed the Tennessee National Guard to the Middle East this week even though Hurricane Helene is devastating Tennessee and surrounding states.  

There is a long history of National Guard units being deployed to combat zones without a declaration of war",the biden administration deployed the tennessee national guard to the middle east this week even though hurricane helene is devastating tennessee and surrounding states there is a long history of national guard units being deployed to combat zones without a declaration of war,0,1840170957152887058,Tweet,Liam McCollum,MLiamMcCollum,"9/28/2024, 4:25:19 PM",16,148,22,504,29349,23,en,No,helene,,https://x.com/MLiamMcCollum/status/1840170957152887058,,,
pray for everyone in the path of helene,pray for everyone in the path of helene,0,1840168309863407747,Tweet,⚔️ Ty🛡️,Chosentoempower,"9/28/2024, 4:14:48 PM",0,1,0,8,159,0,en,No,helene,,https://x.com/Chosentoempower/status/1840168309863407747,,,
"My grandfather used to be Sheriff of Ashe County, North Carolina, and he would require his men to be decent horseback riders. I didn't consider why or put much thought into it until Helene. Now I get it: horses will take you places that cars can't go, especially with no roads.",my grandfather used to be sheriff of ashe county north carolina and he would require his men to be decent horseback riders i didnt consider why or put much thought into it until helene now i get it horses will take you places that cars cant go especially with no roads,0,1840162620189401401,Tweet,𝕍𝕚𝕠𝕝𝕒 𝕃𝕖𝕚𝕘𝕙 𝔹𝕝𝕦𝕖𝕤,ViolaLeighBlues,"9/28/2024, 3:52:11 PM",4,26,0,45,1215,2,en,No,helene,,https://x.com/ViolaLeighBlues/status/1840162620189401401,,,
My heart goes out to everyone affected by Helene... Stay strong friends.,my heart goes out to everyone affected by helene stay strong friends,0,1840122444000178302,Tweet,A.Minor,BrightMoments,"9/28/2024, 1:12:33 PM",0,0,0,4,55,0,en,No,helene,,https://x.com/BrightMoments/status/1840122444000178302,,,
"Daily Virginia Early Voting Update (Day to day changes)
DEMS STRUGGLE DESPITE LARGE MAIL DROPS

Strong Harris Counties -12%
Weak Harris Counties -17%
Competitive Counties -25%
Weak Trump Counties -2%
Strong Trump Counties -10%
This is terrible for Dems as due to storm Helene 18",daily virginia early voting update day to day changes dems struggle despite large mail drops strong harris counties 12 weak harris counties 17 competitive counties 25 weak trump counties 2 strong trump counties 10 this is terrible for dems as due to storm helene 18,0,1840148889648906325,Tweet,Election2024 Updates,MadAboutSkin01,"9/28/2024, 2:57:38 PM",6,42,1,233,14207,10,en,No,helene,,https://x.com/MadAboutSkin01/status/1840148889648906325,,,
"#BREAKING - The death toll from #Helene has reached 57 with potentially significant rises in the death toll expected with the catastrophic flooding in Eastern TN, western NC, and NW SC. #ncwx #scwx #tnwx",breaking the death toll from helene has reached 57 with potentially significant rises in the death toll expected with the catastrophic flooding in eastern tn western nc and nw sc ncwx scwx tnwx,0,1840106203864514656,Tweet,Tyler Metcalf,tymetwx,"9/28/2024, 12:08:01 PM",0,6,1,24,2185,0,en,No,helene,"#BREAKING, #Helene, #ncwx, #scwx, #tnwx",https://x.com/tymetwx/status/1840106203864514656,,,
"Please RT. My friends in St. Petersburg have a family with 3 children and are in need of short-term housing.  Need for possibly 1-2 months. 

Their family home is a complete loss due to Hurricane Helene. 

If you know of any furnished, short term rentals in the Tampa or St.",please rt my friends in st petersburg have a family with 3 children and are in need of shortterm housing need for possibly 12 months their family home is a complete loss due to hurricane helene if you know of any furnished short term rentals in the tampa or st,1,1840137284433391833,Tweet,David Johnson,DavidRises,"9/28/2024, 2:11:31 PM",1,9,0,3,933,0,en,No,helene,,https://x.com/DavidRises/status/1840137284433391833,,,
Didn't see #Helene hashtags overrun with pornbots like we saw with other disasters earlier this summer... Hopefully a positive trend.,didnt see helene hashtags overrun with pornbots like we saw with other disasters earlier this summer hopefully a positive trend,0,1840157106760233125,Tweet,Joel Gombiner,joelgombiner,"9/28/2024, 3:30:17 PM",0,0,0,3,201,0,en,No,helene,#Helene,https://x.com/joelgombiner/status/1840157106760233125,,,
I'm so sorry for everyone suffering from Hurricane Helene right now 🙏🏼🙏🏼💞 western NC and east TN got severe flooding,im so sorry for everyone suffering from hurricane helene right now 🙏🏼🙏🏼💞 western nc and east tn got severe flooding,0,1840161055109996623,Tweet,Kat 🧁,secretkatxx,"9/28/2024, 3:45:58 PM",3,2,0,48,18704,0,en,No,helene,,https://x.com/secretkatxx/status/1840161055109996623,,,
"There are ""multiple fatalities"" in Buncombe County, North Carolina after Hurricane Helene caused widespread flooding.  No official death toll at this time. 

Officials are describing the situation as ""biblical devastation"" across the county.",there are multiple fatalities in buncombe county north carolina after hurricane helene caused widespread flooding no official death toll at this time officials are describing the situation as biblical devastation across the county,0,1840157386478088403,Tweet,Dianne Gallagher,DianneG,"9/28/2024, 3:31:24 PM",12,79,6,168,73484,4,en,No,helene,,https://x.com/DianneG/status/1840157386478088403,,,
"I’m praying for every Virginian impacted by Hurricane Helene, and will do all that I can in coordination with local leaders to help our communities get back on their feet.",i’m praying for every virginian impacted by hurricane helene and will do all that i can in coordination with local leaders to help our communities get back on their feet,0,1840156972865241193,Tweet,Senator Tim Kaine,SenTimKaine,"9/28/2024, 3:29:45 PM",10,9,0,30,2599,0,en,No,helene,,https://x.com/SenTimKaine/status/1840156972865241193,,,
"Quick note re: GRAF model verification — while it was east of most of the model consensus, in at least multiple instances from graphics of its runs shared on here it was *too far east*, showing Helene tracking much closer to Cedar Key than in reality.",quick note re graf model verification — while it was east of most of the model consensus in at least multiple instances from graphics of its runs shared on here it was too far east showing helene tracking much closer to cedar key than in reality,0,1840147696641864152,Tweet,Tomer Burg,burgwx,"9/28/2024, 2:52:53 PM",2,3,1,37,6644,0,en,No,helene,,https://x.com/burgwx/status/1840147696641864152,,,
"Please, pray for those of us in the mountains. Things are really bad. We have no power, water or cell service. They’re saying power might be out for weeks. No gas stations in our area are open. So many of our roads have washed away. I am having to use the hospital WiFi. #Helene",please pray for those of us in the mountains things are really bad we have no power water or cell service they’re saying power might be out for weeks no gas stations in our area are open so many of our roads have washed away i am having to use the hospital wifi helene,1,1840144795693391959,Tweet,🍂Alexandra (Taylor’s Version)🍉 (She/Her),AlexandraW1031,"9/28/2024, 2:41:22 PM",13,27,1,241,11195,1,en,No,helene,#Helene,https://x.com/AlexandraW1031/status/1840144795693391959,,,
"I bet when all is said and done, we’ll retire the name Helene from the rotation. The destruction is incredible.",i bet when all is said and done we’ll retire the name helene from the rotation the destruction is incredible,0,1840145062774112338,Tweet,Matthew T. Hall,bymatthewthall,"9/28/2024, 2:42:25 PM",0,0,0,3,279,0,en,No,helene,,https://x.com/bymatthewthall/status/1840145062774112338,,,
"I’ve had some time to think about my time tracking &amp; documenting Helene. 

Take it or leave it. 

First, my prayers go out to all impacted in FL &amp; beyond. The forecast for an extraordinarily expansive &amp; impactful system unfortunately verified. We must support these communities.",i’ve had some time to think about my time tracking amp documenting helene take it or leave it first my prayers go out to all impacted in fl amp beyond the forecast for an extraordinarily expansive amp impactful system unfortunately verified we must support these communities,0,1840134534463140304,Tweet,Don Bell,DonBellCT,"9/28/2024, 2:00:35 PM",1,0,0,2,86,0,en,No,helene,,https://x.com/DonBellCT/status/1840134534463140304,,,
"Weather Twitter, Katrina is not the hurricane to reference for the scope of the damage in NC from Helene.  It's Camille, which did similar damage in and around Nelson County,  VA in 1968. But even that was limited in area compared to what Helene has brought.
#Helene #ashevillenc",weather twitter katrina is not the hurricane to reference for the scope of the damage in nc from helene its camille which did similar damage in and around nelson county va in 1968 but even that was limited in area compared to what helene has brought helene ashevillenc,0,1840153723751813295,Tweet,Peter Pfotenhauer,teachnfishpkp,"9/28/2024, 3:16:50 PM",0,1,0,11,524,0,en,No,helene,"#Helene, #ashevillenc",https://x.com/teachnfishpkp/status/1840153723751813295,,,
"When talking to Katrina survivors, one thing I heard repeatedly was the feeling that they had been forgotten immediately after the storm. They hadn’t been  — it was just  the overwhelming need. But I know that’s how the survivors of Helene feel right now.",when talking to katrina survivors one thing i heard repeatedly was the feeling that they had been forgotten immediately after the storm they hadn’t been — it was just the overwhelming need but i know that’s how the survivors of helene feel right now,0,1840158210059087898,Tweet,Marshall Ramsey ✏️,MarshallRamsey,"9/28/2024, 3:34:40 PM",0,1,0,11,1437,0,en,No,helene,,https://x.com/MarshallRamsey/status/1840158210059087898,,,
"Taking the night off, I had family in the path of Helene and they are currently unaccounted for as their area was devastated by the hurricane. If you stream tonight, have a lovely stream, and be safe friends. @Obscurity_TV @KickCommunity @KickStreaming @KickStreamsLive",taking the night off i had family in the path of helene and they are currently unaccounted for as their area was devastated by the hurricane if you stream tonight have a lovely stream and be safe friends obscuritytv kickcommunity kickstreaming kickstreamslive,1,1840162235345252504,Tweet,Knoxy,KnoxicKnoxy,"9/28/2024, 3:50:40 PM",2,4,0,9,215,0,en,No,helene,,https://x.com/KnoxicKnoxy/status/1840162235345252504,,,
"I feel immensely grateful to be physically unaffected by the storm system that rolled inland from Helene but my stomach is fucking sick because it’s been 24 hours and coverage is just now circulating and Asheville is trending. Yet the rural, poorest areas of NC go unnamed.",i feel immensely grateful to be physically unaffected by the storm system that rolled inland from helene but my stomach is fucking sick because it’s been 24 hours and coverage is just now circulating and asheville is trending yet the rural poorest areas of nc go unnamed,0,1840148188642324721,Tweet,"patronskank, phD is blowsama bin laden",patronskank,"9/28/2024, 2:54:51 PM",0,0,1,9,1004,0,en,No,helene,,https://x.com/patronskank/status/1840148188642324721,,,
"Stepping out of my @ProjectLincoln hat for a minute to step into my 7th generation, old Florida self for a second. Y'all #Helene was devastating. Not because it hit a major metropolitan area, but actually, because it didn't. 🧵",stepping out of my projectlincoln hat for a minute to step into my 7th generation old florida self for a second yall helene was devastating not because it hit a major metropolitan area but actually because it didnt 🧵,0,1839847424573001845,Tweet,Ryan Wiggins 🏴‍☠️,Ryan_N_Wiggins,"9/27/2024, 6:59:43 PM",249,2778,232,12409,1141683,458,en,No,helene,#Helene,https://x.com/Ryan_N_Wiggins/status/1839847424573001845,,,
Our hearts go out to our fellow Carolinians in the west affected by Helene. Please reply with any charities and funds you recommend that go to recovery and aid efforts.,our hearts go out to our fellow carolinians in the west affected by helene please reply with any charities and funds you recommend that go to recovery and aid efforts,0,1840148874964677103,Tweet,Carolina WrestleManiacs,CWrestlemaniacs,"9/28/2024, 2:57:34 PM",1,1,0,16,395,0,en,No,helene,,https://x.com/CWrestlemaniacs/status/1840148874964677103,,,
Red Wings announce tonight's exhibition against Pittsburgh Penguins is postponed because of Penguins' travel issues. More details to come as they're available.,red wings announce tonights exhibition against pittsburgh penguins is postponed because of penguins travel issues more details to come as theyre available,0,1840164335298937055,Tweet,Helene St. James,HeleneStJames,"9/28/2024, 3:59:00 PM",2,2,0,29,5248,0,en,No,helene,,https://x.com/HeleneStJames/status/1840164335298937055,,,
"Americans are devastated from Helene and this b1tch is shilling for illegals.

@VP @KamalaHarris",americans are devastated from helene and this b1tch is shilling for illegals vp kamalaharris,0,1840145222480568730,Tweet,Ohr |🇺🇸,Th3_0hr,"9/28/2024, 2:43:03 PM",0,0,1,5,72,0,en,No,helene,,https://x.com/Th3_0hr/status/1840145222480568730,,,
"This is not one of my regular posts, but I cannot keep silent about it. My hometown in the mountains of North Carolina was catastrophically hit by Hurricane Helene. Roads are destroyed, people are homeless, and people have lost their lives.",this is not one of my regular posts but i cannot keep silent about it my hometown in the mountains of north carolina was catastrophically hit by hurricane helene roads are destroyed people are homeless and people have lost their lives,1,1840154898681188598,Tweet,🍄🐒ꪑꪗᥴꫀꪶ꠸ꪊꪑ ꪑꪖ᥅ꪑꪮᦓꫀꪻ🐒🍄,myceliumarmoset,"9/28/2024, 3:21:30 PM",3,15,0,25,1142,0,en,No,helene,,https://x.com/myceliumarmoset/status/1840154898681188598,,,
